id,name,brand,price,avg_rating,specs,category_id
208,"Laptop Dell 15 DC15250 - DC15250-i5U165W11SLU-27 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365, Win11)",Dell,23390000,3.80,"{'os': 'Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm', 'cpu': 'Intel Core i5 Raptor Lake - 1334U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.9, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 120}",2
168,"Laptop Dell 15 DC15250 - DC5I5897W1 (i5 1334U, 16GB, 512GB, Full HD+ 120Hz, OfficeH24+365, Win11)",Dell,23390000,4.60,"{'os': 'Windows 11 Home + Office Home 2024 + Microsoft 365 Basic 1 năm', 'cpu': 'Intel Core i5 Raptor Lake - 1334U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.65, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 120}",2
217,"Laptop Asus Vivobook 14 X1407CA - LY008W (Ultra 5 225H, 16GB, 512GB, WUXGA, Win11)",Asus,23790000,4.40,"{'os': 'Windows 11 Home', 'cpu': 'Intel Core Ultra 5 Arrow Lake - 225H', 'ram': 16, 'vga': 'Card tích hợp - Intel Arc Graphics', 'weight': 1.46, 'battery': 70.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 14.0, 'refresh_rate': 60}",2
202,"Laptop Acer Aspire Go 15 AG15-52P-52WT - NX.JWKSV.001 (Ultra 5 115U, 16GB, 512GB, Full HD, Win11)",Acer,24090000,4.40,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core Ultra 5 Meteor Lake - 115U', 'ram': 16, 'vga': 'Card tích hợp - Intel Graphics', 'weight': 1.59, 'battery': 50.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 60}",2
209,"Laptop Lenovo IdeaPad Slim 3 15IWC11 - 83RR00AAVN (Core 5 320, 16GB, 512GB, WUXGA, Win11)",Lenovo,24090000,4.50,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 5 Wildcat Lake - 320', 'ram': 16, 'vga': 'Card tích hợp - Intel Graphics', 'weight': 1.59, 'battery': 50.0, 'storage': 512, 'material': 'Vỏ nhựa - Nắp lưng bằng nhôm', 'screen_size': 15.3, 'refresh_rate': 60}",2
167,"Laptop HP 240R G10 - C3RU7AT (Core 5 120U, 16GB, 512GB, Full HD, Win11)",HP,24090000,3.90,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 5 Raptor Lake - 120U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.402, 'battery': 41.04, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 14.0}",2
296,"Laptop HP 240R G9 - C40LGAT (Core 5 120U, 16GB, 512GB, Full HD, Win11)",HP,24090000,4.80,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 5 Raptor Lake - 120U', 'ram': 16, 'vga': 'Card tích hợp - Intel Graphics', 'weight': 1.406, 'battery': 41.04, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 14.0}",2
165,"Laptop Dell 15 DC15255 - DC5R5973W1-2Y (R5 7530U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365, Win11)",Dell,24390000,3.50,"{'os': 'Windows 11 Home + Office Home 2024 + Microsoft 365 Basic 1 năm', 'cpu': 'AMD Ryzen 5 - 7530U', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon Graphics', 'weight': 1.65, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 120}",2
279,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000FVN (i7 13620H, 24GB, 512GB, WUXGA, Win11)",Lenovo,24490000,3.70,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core i7 Raptor Lake - 13620H', 'ram': 24, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.63, 'battery': 60.0, 'storage': 512, 'material': 'Vỏ nhựa - nắp lưng bằng kim loại', 'screen_size': 15.3, 'refresh_rate': 60}",2
292,"Laptop Asus TUF Gaming F16 FX607VJ - RL034W (Core 5 210H, 16GB, 512GB, RTX 3050 6GB, Full HD+ 144Hz, Win11)",Asus,24590000,4.70,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 5 Raptor Lake - 210H', 'ram': 16, 'vga': 'Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'weight': 2.2, 'battery': 56.0, 'storage': 512, 'material': 'Vỏ nhựa - nắp lưng bằng kim loại', 'screen_size': 16.0, 'refresh_rate': 144}",2
